h,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0.0,-1.1861920045456562,1.1861920045456562,-1.1861920045456562,1.1861920045456562,-1.1861920045456562,1.1861920045456562,-1.1861920045456562,1.1861920045456562,-1.1861920045456562,1.1861920045456562,-1.1861920045456562,1.1861920045456562,-1.1861920045456562,1.1861920045456562,-1.1861920045456562,1.1861920045456562,-1.1861920045456562,1.1861920045456562,-1.1861920045456562,1.1861920045456562,-1.1861920045456562,1.1861920045456562,-1.1861920045456562,1.1861920045456562,-1.1861920045456562,1.1861920045456562,-1.1861920045456562,1.1861920045456562,-1.1861920045456562,1.1861920045456562,-1.1861920045456562,1.1861920045456562,-1.1861920045456562,1.1861920045456562,-1.1861920045456562,1.1861920045456562,-1.1861920045456562,1.1861920045456562,-1.1861920045456562,1.1861920045456562,-1.1861920045456562,1.1861920045456562,-1.1861920045456562,1.1861920045456562,-1.1861920045456562,1.1861920045456562,-1.1861920045456562,1.1861920045456562,-1.1861920045456562,1.1861920045456562,-1.1861920045456562
0.01,-1.1828412572708003,1.16662044198219,-1.1558932758669038,1.148702129064829,-1.1432309697938128,1.138842455566157,-1.1351711554716712,1.1320219549096717,-1.1292629432265615,1.1268104446763587,-1.1246025326308429,1.122595938777675,-1.1207567696047718,1.1190598246160255,-1.1174845770968012,1.1160150890806542,-1.1146380014118347,1.113342605830452,-1.1121197267712317,1.1109618289001575,-1.1098623406432535,1.1088157620213992,-1.1078172261187178,1.1068625979514106,-1.1059481728533431,1.1050707651280949,-1.1042274895426578,1.1034158408531933,-1.1026335280185589,1.101878546180125,-1.1011490455789716,1.100443397477396,-1.099760086651461,1.0990977724988098,-1.0984551979873747,1.0978312469444407,-1.0972248647668295,1.0966351126720884,-1.0960610969910567,1.0955020209902624,-1.0949571205432502,1.0944257139992406,-1.0939071426737514,1.0934008191352436,-1.0929061713907813,1.092422689882958,-1.091949874546525,1.0914872807467755,-1.0910344685938964,1.0905910480068504,-1.0901566298228356
0.02,-1.1792513778798424,1.1470859441954286,-1.126077507584694,1.1121124518113321,-1.1015429990881227,1.0931026953669856,-1.0860661490392665,1.080048692394867,-1.0747903545026933,1.0701270833794494,-1.065937470540005,1.062137050585659,-1.058659648408129,1.05545624288238,-1.052486893272484,1.0497206892286182,-1.047131711951742,1.0446992478793415,-1.0424055398633347,1.0402360456955475,-1.0381780759078805,1.0362210384562531,-1.0343555541426008,1.0325736748885863,-1.0308682740478086,1.0292332390216392,-1.0276630284727803,1.026152843336784,-1.0246982899429107,1.0232955337084035,-1.0219410319983377,1.0206316741816222,-1.0193645618839,1.0181371383486801,-1.0169470017839588,1.0157920263200797,-1.014670199017732,1.0135797341897315,-1.0125189276812352,1.0114862659166626,-1.010480293022022,1.0094997156486654,-1.0085432798016547,1.007609872257223,-1.0066984048356322,1.0058079130508526,-1.0049374461696612,1.004086163596135,-1.0032532294826118,1.0024379072474137,-1.0016394578062264
0.03,-1.1754161530930558,1.1275936815712422,-1.096743902940136,1.076409386567031,-1.0610993813150071,1.048927818652854,-1.0388155564155397,1.0301942371116717,-1.0226798718482033,1.0160314148624126,-1.0100704747246125,1.00467347888785,-0.9997435932105531,0.9952093531567106,-0.9910125121962919,0.9871081433621528,-0.983458558103727,0.9800337287339702,-0.9768078995383572,0.9737600381466064,-0.9708717800682864,0.9681278381348337,-0.9655146654207125,0.963020812673682,-0.9606360047805521,0.9583514520897366,-0.9561591780325395,0.9540522931597524,-0.9520244821847915,0.9500702488105071,-0.948184507786655,0.9463628070714861,-0.944600991280535,0.9428954062593404,-0.9412426124020145,0.9396395755110158,-0.9380834157849453,0.9365715879143879,-0.9351016561170452,0.9336714657188121,-0.9322789375625911,0.9309222327992495,-0.9295995619443271,0.9283093442103991,-0.927050027802666,0.9258202448284705,-0.9246186403313573,0.9234440235896697,-0.9222952040273044,0.9211711395427622,-0.9200707778913
0.04,-1.1713295853735894,1.1081488472698384,-1.0678915176639587,1.0415793644747189,-1.0218718086674776,1.006273873737307,-0.9933595676150673,0.982382978012445,-0.9728403093686164,0.9644169721396005,-0.9568801331145552,0.950069212775024,-0.9438583444631268,0.9381549898347138,-0.9328836963247806,0.9279864632447306,-0.9234146100642681,0.9191294724266519,-0.9150978664912487,0.9112927734212053,-0.9076905847084297,0.9042717031856843,-0.9010187479704355,0.8979170700270557,-0.8949535096453219,0.892116840650827,-0.8893968635475095,0.8867847937038749,-0.8842725676296069,0.8818531880412636,-0.8795201705842698,0.8772678558332481,-0.8750909515273585,0.8729848191287362,-0.8709450828027928,0.8689678962687813,-0.8670495995371477,0.8651869703687043,-0.863376915899385,0.8616167119739346,-0.8599037207290001,0.858235620290045,-0.8566101419878969,0.8550252923307188,-0.8534791052900416,0.8519698580288418,-0.8504958349084751,0.8490555381298587,-0.8476474609672413,0.8462702942337708,-0.8449227068589883
0.05,-1.1669858811419067,1.0887566526746861,-1.0395192612035489,1.0076088382635346,-0.9838323766590003,0.9650978501575405,-0.9496399591188077,0.936541613727231,-0.9251835699290091,0.9151811972869619,-0.9062497930068049,0.8981938731098605,-0.8908601626919634,0.8841364070392733,-0.8779310352008796,0.8721739000468107,-0.8668060924870458,0.8617809735135032,-0.8570584876161488,0.8526061190782125,-0.8483954336081702,0.8444028966470959,-0.8406076157582025,0.8369920325291126,-0.8335403565037913,0.8302391559078015,-0.8270762118173249,0.8240410312110061,-0.8211239680642227,0.8183166774532921,-0.8156114126045816,0.8130014342326971,-0.810480427296665,0.8080428761370959,-0.8056835649155225,0.803397926402724,-0.801181602317202,0.7990307716245494,-0.7969417546496557,0.7949113252915506,-0.7929363477178468,0.7910140758338389,-0.7891418146292172,0.7873172094554358,-0.7855379263007037,0.7838019328472032,-0.7821071934733717,0.7804519436266102,-0.7788343964229643,0.777253011541744,-0.7757062110587211
0.06,-1.1623794406411563,1.069422322955695,-1.0116258980019188,0.9744842864333321,-0.9469535839969478,0.9253576662687025,-0.9076000618762413,0.8925990945145253,-0.879624555461396,0.8682253152707633,-0.858067394240088,0.8489225014276341,-0.8406115699796881,0.833003969938011,-0.8259930842059842,0.8194975284232502,-0.8134489120289473,0.807793266449613,-0.8024842057606164,0.7974841919151845,-0.7927603695433787,0.7882856262052501,-0.7840358684734078,0.779990907626717,-0.7761325660094299,0.7724454273526696,-0.7689154478347568,0.7655306043129256,-0.762279826070557,0.7591535664580941,-0.7561429461124024,0.7532402669019672,-0.7504382990712398,0.7477307513714674,-0.7451116588564468,0.7425758194158655,-0.7401182536430865,0.737734615340707,-0.735420704077568,0.7331728553243911,-0.7309874922434825,0.728861499724329,-0.7267918058680344,0.7247757431772213,-0.7228106528483662,0.7208942356205701,-0.719024173819806,0.7171984738122631,-0.7154151020324759,0.7136723205664414,-0.7119683343169142
0.07,-1.157504849254228,1.0501510927273914,-0.9842100488321343,0.9421922173951393,-0.9112083323177556,0.8870121568221425,-0.8671847296924233,0.8504865653150507,-0.8360810794126912,0.8234542112695694,-0.8122253075163671,0.8021353559232132,-0.7929811007412941,0.7846148578154593,-0.7769160177626236,0.7697928479578079,-0.7631682053856588,0.7569814187689617,-0.7511802967799485,0.7457227377802029,-0.7405718558722644,0.7356973066888745,-0.7310720941682499,0.7266736667456688,-0.7224816926004932,0.7184789821191144,-0.7146498520404805,0.7109809187875318,-0.7074598369332447,0.7040759965806177,-0.7008195087618552,0.6976818310339846,-0.6946549210019154,0.6917318076829541,-0.6889058626495957,0.6861713299777276,-0.6835226816437933,0.6809551154932223,-0.6784639722559491,0.6760452085545559,-0.6736948598179449,0.671409493606291,-0.6691857072768301,0.6670205656348437,-0.6649111253010864,0.6628548597660714,-0.660849204547021,0.6588919720306466,-0.6569809130122074,0.6551141231927826,-0.6532896177697274
0.08,-1.1523568701005487,1.0309482017856268,-0.9572701921900534,0.9107191735650091,-0.8765699257860428,0.8500210605321347,-0.8283403080014841,0.8101373098965744,-0.7944737812950503,0.7807763114102365,-0.7686201777330223,0.7577177143149004,-0.7478430614948322,0.7388327784935242,-0.730553296457936,0.7229034013051624,-0.7157979069914535,0.7091700470723056,-0.7029623327081375,0.6971285409629876,-0.6916281313072968,0.6864278594901623,-0.6814981126901607,0.6768142321798195,-0.6723539543640576,0.6680985174040762,-0.6640307749421156,0.6601361440660249,-0.6564011467710298,0.6528142409913675,-0.6493646443420299,0.6460430781869339,-0.6428407836454119,0.6397502002587113,-0.6367641165575482,0.633876298959768,-0.6310807387647934,0.6283722427336799,-0.6257457506305776,0.6231968959679525,-0.6207213761161735,0.618315489569538,-0.6159755458723373,0.613698384220784,-0.6114808139924748,0.6093201183712865,-0.6072135187122104,0.6051586660412756,-0.6031531242087383,0.6011948514913472,-0.5992816987187016
0.09,-1.146930437763661,1.0118188909088908,-0.9308046657478549,0.880051735408712,-0.8430120705598327,0.8143450076355085,-0.7910146030279024,0.7714866960776707,-0.7547260433007145,0.7401034668398936,-0.7271527721924863,0.7155596833808834,-0.7050772993358538,0.6955276937063681,-0.6867653475757142,0.6786804083844564,-0.6711803355884186,0.6641928548648522,-0.6576556699097873,0.6515188618383242,-0.6457385963412244,0.6402790471630916,-0.6351082579282096,0.6301997065365179,-0.6255294092975099,0.6210772232203611,-0.6168247060843836,0.6127562281923727,-0.608857313297672,0.6051156109166254,-0.6015195547163906,0.5980592316611532,-0.5947252567125828,0.591509564698168,-0.5884044364627578,0.5854032321173032,-0.582499525762607,0.5796877937232865,-0.5769626287340841,0.5743193932003223,-0.5717534926174189,0.5692610013586906,-0.5668379809755679,0.5644810841813217,-0.5621869076589209,0.5599525785721184,-0.5577751342584254,0.5556520946119254,-0.5535808629754373,0.5515592870026891,-0.5495850764502561
