h,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0.0,-0.20324245857928203,0.20324245857928203,-0.20324245857928203,0.20324245857928203,-0.20324245857928203,0.20324245857928203,-0.20324245857928203,0.20324245857928203,-0.20324245857928203,0.20324245857928203,-0.20324245857928203,0.20324245857928203,-0.20324245857928203,0.20324245857928203,-0.20324245857928203,0.20324245857928203,-0.20324245857928203,0.20324245857928203,-0.20324245857928203,0.20324245857928203,-0.20324245857928203,0.20324245857928203,-0.20324245857928203,0.20324245857928203,-0.20324245857928203,0.20324245857928203,-0.20324245857928203,0.20324245857928203,-0.20324245857928203,0.20324245857928203,-0.20324245857928203,0.20324245857928203,-0.20324245857928203,0.20324245857928203,-0.20324245857928203,0.20324245857928203,-0.20324245857928203,0.20324245857928203,-0.20324245857928203,0.20324245857928203,-0.20324245857928203,0.20324245857928203,-0.20324245857928203,0.20324245857928203,-0.20324245857928203,0.20324245857928203,-0.20324245857928203,0.20324245857928203,-0.20324245857928203,0.20324245857928203,-0.20324245857928203
0.01,-0.19854776086181497,0.19313960944864642,-0.19056472889527262,0.18890215248226536,-0.1877827319288256,0.1869209383605309,-0.1862265242202488,0.18564244461711743,-0.18513998514306104,0.18469841936999984,-0.18430515751674537,0.183950409022941,-0.1836275701650935,0.183331255565403,-0.18305758091929894,0.18280327141890915,-0.1825658529365706,0.18234318683222264,-0.1821336021075861,0.18193562540935068,-0.1817480763291891,0.1815698967032761,-0.18140022255133667,0.18123826810755972,-0.18108338255925013,0.180934966211844,-0.18079251706021043,0.18065556680819342,-0.18052372045872264,0.18039660512841385,-0.18027390472802346,0.180155317319411,-0.1800405862677144,0.1799294634757425,-0.17982173795078696,0.17971720318918652,-0.17961568381525303,0.17951700596335118,-0.17942102245633337,0.17932758539606874,-0.17923657021953815,0.17914784994537503,-0.17906131835620437,0.1789768655066317,-0.17889440021724207,0.17881382655716582,-0.17873506578988282,0.17865803361842444,-0.17858266169020773,0.17850887544600721,-0.1784366152667775
0.02,-0.19357590240368774,0.18327027401401033,-0.17840652149187605,0.1753063283740736,-0.17323508833795473,0.17164855879098972,-0.17037563758189544,0.16930855138681405,-0.16839331245325936,0.1675910093895655,-0.16687810513620932,0.16623630742332476,-0.1656533240205978,0.16511913211040324,-0.16462652712375617,0.16416943398904035,-0.1637432775968892,0.16334410155487497,-0.16296882405714885,0.16261472602249724,-0.16227963558067954,0.16196160401690096,-0.1616590450845515,0.16137051442998931,-0.16109481954973853,0.16083085995638416,-0.1605777175207948,0.16033453416193066,-0.16010058873269659,0.15987519888937265,-0.15965778852112944,0.15944780576168902,-0.15924478362756514,0.15904826913593847,-0.15885787896941705,0.15867323643630726,-0.1584940234285763,0.15831992304656242,-0.15815066875009262,0.15798599115670894,-0.1578256650367049,0.1576694592410522,-0.1575171820185187,0.1573686333277767,-0.157223648833102,0.15708205405861175,-0.15694370733190427,0.15680845537994176,-0.15667617542664203,0.1565467319301996,-0.15642001799396696
0.03,-0.188324726999035,0.1736374149527847,-0.1667583436753246,0.162429565584469,-0.15955987572258074,0.15737280588840874,-0.15562556605696834,0.154165756666899,-0.15291740694994782,0.15182583967821667,-0.15085812112439562,0.14998867098062135,-0.14920036443423304,0.148479239644761,-0.14781529535537363,0.14720009632314518,-0.14662731069448479,0.14609146019818958,-0.14558829098430198,0.14511404707994344,-0.14466573773606464,0.14424067679257643,-0.14383668464339455,0.1434517740667219,-0.14308430975846265,0.14273278011597293,-0.14239592844946214,0.14207257785770064,-0.14176174302709857,0.14146248931606345,-0.14117403092260414,0.14089561280545987,-0.14062659906840805,0.1403663705935519,-0.14011440626512517,0.13987019169779863,-0.13963329512639602,0.13940328414828052,-0.13917979757585838,0.13896246808400484,-0.13875099096264365,0.13854505119263075,-0.13834438978678265,0.1381487342395812,-0.13795786296965534,0.1377715383764797,-0.13758956977176273,0.13741174847656318,-0.13723790953781162,0.13706786844111465,-0.13690148184144546
0.04,-0.18279221164967202,0.16424399294965894,-0.15561056161256948,0.15024686896623032,-0.1467186213794784,0.14404315755827732,-0.14191490172259433,0.14014269511970706,-0.13863171521711357,0.13731381079001617,-0.13614810829909318,0.13510287686783815,-0.13415695568296734,0.13329309293053598,-0.13249897427426552,0.1317642104556153,-0.1310810288418967,0.1304427007434931,-0.1298440182395901,0.1292803791012214,-0.1287481305109279,0.12824398800440645,-0.127765295247175,0.12730962689869896,-0.12687499398487315,0.12645955467593956,-0.12606178338502125,0.12568024819452905,-0.12531375511443923,0.12496116844954867,-0.12462153762812671,0.1242939462347424,-0.12397762633798498,0.12367182724599673,-0.1233759206899273,0.12308928350697455,-0.12281139601547394,0.1225417347584791,-0.12227986572815462,0.12202534452277672,-0.1217778056178438,0.12153686808316111,-0.1213022217796661,0.12107353731282479,-0.1208505498099608,0.12063297214740627,-0.12042057680267672,0.12021311164415233,-0.12001038023591085,0.11981215965674624,-0.11961827954967924
0.05,-0.17697647843386055,0.15509294581649002,-0.14495340761994935,0.13873367386490013,-0.13467401400936077,0.13161103072558286,-0.12918496528655582,0.12717151350609723,-0.12545996649601346,0.12397085980724488,-0.12265674208679196,0.12148079271706724,-0.12041855247753504,0.11945007973539458,-0.11856119144221469,0.11773991724434081,-0.1169773321980333,0.11626570495703754,-0.11559907143613092,0.11497215624501748,-0.11438078618080513,0.11382120423944343,-0.11329038227952835,0.11278555113796015,-0.11230444803601293,0.11184497346827156,-0.11140539514628921,0.1109840831759304,-0.11057968426539884,0.11019090734063215,-0.10981667690496166,0.10945595232475107,-0.109107866246118,0.10877156704719902,-0.10844634633068755,0.1081314977363424,-0.1078264363041075,0.10753056910518552,-0.10724340845786097,0.10696445126810437,-0.10669328752912534,0.10642948619470154,-0.10617270001245031,0.1059225563750045,-0.10567875926882858,0.105440983972586,-0.10520897671151962,0.1049824523675295,-0.10476119228989461,0.1045449443906799,-0.10433351946009427
0.06,-0.17087580593493443,0.14618716897882753,-0.1347769876381517,0.12786585074226167,-0.12338988555142878,0.120029729185042,-0.11737971234572897,0.1151877303887866,-0.11332998235744277,0.11171771760005876,-0.1102981736854077,0.10903042453176452,-0.10788739183310529,0.1068469961542441,-0.10589359178988765,0.10501396783958285,-0.10419830891277804,0.10343810588001619,-0.10272681712558683,0.10205865036950093,-0.10142903926732395,0.10083386728629695,-0.10026982828213046,0.09973389365021658,-0.09922359791689958,0.09873664858086573,-0.0982711618195068,0.0978253604410319,-0.09739777549286671,0.09698700097839533,-0.09659187157721982,0.09621125525591143,-0.09584421387814183,0.09548982188920427,-0.09514731442496153,0.09481592441071157,-0.09449502137197267,0.09418396183676732,-0.09388222111855057,0.09358925352310259,-0.09330461874181173,0.09302784941336743,-0.09275857332883355,0.09249638659816765,-0.09224097256129123,0.09199197928684104,-0.09174913586379849,0.09151213329205062,-0.0912807386697605,0.0910546787706298,-0.09083375252493876
0.07,-0.16448864027780574,0.13752949716530588,-0.12507128888294436,0.11761970945262405,-0.11283119284319094,0.10925439217846945,-0.10644564192892803,0.10413010022551497,-0.10217349332827269,0.10047967598742466,-0.09899174639713965,0.0976655813096223,-0.09647210542211324,0.09538760638196585,-0.09439534467372739,0.09348117802736171,-0.0926346368576437,0.09184663712615264,-0.09111021989903254,0.09041921621842858,-0.08976878012401876,0.08915453646115094,-0.08857298437942213,0.08802091085087971,-0.0874957105795188,0.08699495534781308,-0.08651665838167803,0.08605893991469724,-0.08562025362245233,0.08519911417367092,-0.0847942971124755,0.08440460779087303,-0.08402906224575185,0.08366668460617843,-0.08331667409278797,0.08297822253657146,-0.0826506710617019,0.08233334213507654,-0.08202568845512606,0.08172713571153245,-0.08143722549927103,0.08115546611325831,-0.08088147082118897,0.08061481478198966,-0.08035516966956578,0.08010216532518179,-0.0798555214802462,0.0796149131154516,-0.0793800998537537,0.07915079425607151,-0.0789267893254765
0.08,-0.15781360581345535,0.12912268716000527,-0.11582618766150057,0.10797200317115352,-0.10296399911935397,0.09924194370735981,-0.09633170729598317,0.09394048175427687,-0.09192596227175294,0.09018636446446449,-0.08866172463264695,0.08730555568583889,-0.08608735150234172,0.08498222579029231,-0.08397267811403425,0.08304391375753112,-0.08218502065303555,0.08138652168092814,-0.08064118327468363,0.0799425847484144,-0.0792857010772145,0.07866598795411986,-0.07807982323319401,0.07752387567851012,-0.07699545532940669,0.07649204860527693,-0.07601160822115093,0.07555219100646782,-0.07511220658003213,0.07469012134149144,-0.0742846783004226,0.0738946452454296,-0.07351901394035741,0.07315677869438578,-0.0728071205011356,0.07246920708251361,-0.07214236584025968,0.07182589941629394,-0.07151925019611866,0.07122182730711314,-0.07093316464837435,0.07065275647089692,-0.07038021038057767,0.07011508945983959,-0.06985706131963658,0.069605745278481,-0.06936085827438623,0.06912206600445903,-0.06888912631566228,0.06866174348246182,-0.06843970955411947
0.09,-0.15084951548476025,0.12096940149816165,-0.1070314573444153,0.09889993197370575,-0.09375545536356543,0.08995104258818405,-0.08698922896450122,0.08456371057390279,-0.0825264143251739,0.08077153617031509,-0.0792370351034822,0.0778748199310695,-0.07665346554851232,0.07554732620964241,-0.07453843886799255,0.07361160624524934,-0.07275566209927627,0.07196089801286654,-0.07121993187218682,0.07052620177345918,-0.06987459196255653,0.0692604676899789,-0.06868014966431744,0.06813024641673143,-0.0676080312858246,0.06711094922572797,-0.06663692917732786,0.06618399858220822,-0.06575055171557255,0.0653350335908874,-0.06493617751526741,0.06455273532291562,-0.06418369293128301,0.06382803245847174,-0.06348493173483083,0.0631535489438032,-0.06283321021853965,0.062523210559498,-0.06222299243777252,0.06193195871245251,-0.0616496443454913,0.061375538323578616,-0.061109250025948164,0.06085033801071156,-0.06059847218134043,0.060353267880841804,-0.06011444472019639,0.05988166482979234,-0.05965468900840997,0.059433218269027664,-0.059217047816541045
0.1,-0.1435953809012422,0.11307219300284727,-0.09867677648368428,0.09038114606782477,-0.08517378152675985,0.08134203325731984,-0.07837180993538602,0.07594747582432772,-0.0739172732025489,0.07217286277940031,-0.07065101973507074,0.06930273666209401,-0.06809612874962404,0.06700516236274075,-0.06601167705118116,0.0651002951098051,-0.06425976221088443,0.06348028141828417,-0.06275443250432051,0.06207560925557116,-0.061438682073464784,0.06083899439729101,-0.0602728653044333,0.05973689338795195,-0.05922835657173985,0.058744696252535235,-0.058283849060714064,0.05784384230277472,-0.05742307938498126,0.05702000696594719,-0.05663336802300817,0.056261916885896164,-0.05590464919102754,0.055560549870670065,-0.055228806261274334,0.05490857937562178,-0.0545992045076708,0.05429997933236875,-0.05401035507740868,0.05372973703052627,-0.05345766848889793,0.0531936405781323,-0.05293727059747013,0.05268811893837938,-0.05244586302781785,0.052210119737259704,-0.051980615829530646,0.051757014668725634,-0.05153908386116959,0.051326525374038534,-0.05111914090311867
0.11,-0.13605042214538812,0.10543349007499724,-0.09075173706704967,0.08239374867481324,-0.07718824762581397,0.07337689733197374,-0.07043525308786389,0.06804220087197296,-0.06604420367399959,0.06433173800764719,-0.06284119984749521,0.061523283646283164,-0.06034605356712597,0.05928341844116482,-0.0583172540785294,0.05743219808683621,-0.05661705314184344,0.055862058626757125,-0.0551598519417665,0.05450386671540527,-0.05388902570442559,0.053310709769322506,-0.052765283853661145,0.05224937978043838,-0.05176031517403772,0.05129556024812608,-0.050853085933685614,0.05043094427205825,-0.05002756838950675,0.049641426090383224,-0.04927128623446114,0.048915921210804694,-0.048574349334494164,0.04824557096782571,-0.04792879344876994,0.047623190986909786,-0.047328116633444654,0.04704287936248823,-0.04676694626931575,0.04649973232463248,-0.046240795094254876,0.045989634005666274,-0.04574587926681653,0.04550909838627289,-0.04527898053707033,0.04505514868721414,-0.044837340346604276,0.04462522409303765,-0.04441857741729093,0.04421710673335785,-0.04402062287310053
0.12,-0.12821407732892973,0.09805558266177661,-0.08324585289917544,0.07491629856302597,-0.06976915473615757,0.06601920593288486,-0.06313748071443091,0.06080092790675887,-0.05885596003751873,0.05719308943363332,-0.055749051165926634,0.05447479210329389,-0.053338685580739446,0.05231487385864245,-0.05138547275081119,0.05053530591901933,-0.04975335837391757,0.049030013795480144,-0.04835804922539904,0.04773101037468604,-0.04714392863006272,0.0465922727794414,-0.046072493721997156,0.04558129309519192,-0.04511605766351668,0.04467431374316509,-0.04425408873255202,0.0438534802637218,-0.043470968226726636,0.043105057850654424,-0.042754557216681637,0.042418269712638505,-0.042095246930872784,0.04178451511382175,-0.041485310132509744,0.041196827953048853,-0.040918446329213286,0.04064949263478154,-0.04038945554214185,0.04013776566260637,-0.039893999564261685,0.039657670027361,-0.039428424122153194,0.03920584079738328,-0.03898962429542913,0.038779407413541925,-0.038574941217561685,0.03837590274824748,-0.038182081766107,0.03799319198185129,-0.03780905539701337
0.13,-0.12008601191380222,0.09094060883913938,-0.0761485681001493,0.06792781223280261,-0.06288781589191239,0.05923407277404666,-0.05643845616584926,0.05417920635838905,-0.052304240402727825,0.050705198342958946,-0.049319789236762696,0.04809969792910678,-0.04701392087940337,0.046037087256016775,-0.045151728365702554,0.04434300109640606,-0.04360017962061926,0.04291388411689505,-0.04227710051353911,0.04168354777307578,-0.04112841301075117,0.040607295383416314,-0.04011676502262491,0.03965362391133596,-0.039215352199026776,0.03879955493236165,-0.038404334093755654,0.03802785010304332,-0.037668643439753624,0.037325270111446276,-0.03699658816096244,0.03668144253972972,-0.03637892658770067,0.03608810092432161,-0.03580823672057251,0.03553855863341945,-0.0352784745853667,0.035027336083812005,-0.03478465783577632,0.034549890891349855,-0.03432263448551139,0.03410241881031299,-0.033888910831933336,0.03368170440758825,-0.03348052137490534,0.03328500735150119,-0.033094929072416984,0.03290997464331185,-0.03272994786924514,0.03255457203936145,-0.03238368181978521
0.14,-0.11166612780932647,0.0840905419537799,-0.0694492657117905,0.06140776575372522,-0.05651653690704871,0.05298810802413052,-0.05030010757604289,0.04813498504067406,-0.04634354661015691,0.04481952731226898,-0.04350216483937697,0.04234430528853228,-0.041315838284420786,0.04039209787234772,-0.03955617978322944,0.03879369918087213,-0.038094308976371526,0.03744894335565969,-0.03685085455911881,0.03629398572643216,-0.03577371835754195,0.03528581700164874,-0.03482699806541963,0.03439418886902254,-0.03398498246139676,0.03359708100548775,-0.033228675512383156,0.032878003068605346,-0.03254367566323467,0.032224310793433734,-0.031918824866445976,0.031626112824709396,-0.03134531631846923,0.03107553708879233,-0.03081608679701011,0.030566224271677968,-0.03032539175279647,0.030092969396826274,-0.029868501291142956,0.029651462691770766,-0.029441478218558467,0.029238098654697592,-0.029041013083434347,0.028849832982503144,-0.028664299608263232,0.02848407373524187,-0.028308939269650425,0.02813859741388854,-0.027972867257178714,0.027811483449470806,-0.027654294345194824
0.15,-0.10295457225438745,0.07750717827775931,-0.06313727640220593,0.055336096255166126,-0.05062859713094733,0.04724937294375341,-0.04468625363649028,0.042628507933810206,-0.0409310496134366,0.0394905552573238,-0.03824826899687109,0.03715856204268738,-0.036192445720472755,0.03532614343468862,-0.0345434394241824,0.0338305115097093,-0.033177464913865355,0.032575611718390705,-0.0320185170139208,0.03150038961137733,-0.0310168363237445,0.03056381532634167,-0.03013821066904634,0.029737094957831642,-0.02935818937127553,0.02899930773082147,-0.028658741210544913,0.028334814449265264,-0.02802621925724505,0.027731642958125812,-0.027450066636078976,0.027180441738751056,-0.026921963089819277,0.026673778733560673,-0.02643524461238075,0.026205657914746713,-0.025984498181124492,0.025771177652367794,-0.025565272161119833,0.025366284025189628,-0.02517386513463319,0.024987589267665415,-0.024807169133118947,0.024632235876349343,-0.024462551381525217,0.024297793342467983,-0.024137763805238632,0.023982178601897244,-0.02383087287970848,0.02368359399574667,-0.023540204607428276
0.16,-0.09395174649098142,0.07119212513608832,-0.05720188725896731,0.04969320307137909,-0.045198230151647686,0.04198733530219046,-0.03956253138948063,0.03762221351568868,-0.03602646015561606,0.034675619677332195,-0.033513347202355395,0.032495846497691126,-0.03159544007776696,0.03078939375570791,-0.030062281226850455,0.029400928131358472,-0.028795950802754256,0.028239090542850655,-0.027724261854253973,0.02724597207306662,-0.026800077218013852,0.026382751142359568,-0.025991061770718707,0.025622242376858576,-0.025274153641386295,0.024944732123304357,-0.024632377327479502,0.02433550964586546,-0.024052906694401344,0.02378333183944504,-0.023525835297547593,0.02327942983353454,-0.023043366803537232,0.02281684435099573,-0.02259926525593559,0.022389968113180798,-0.02218847172226191,0.021994222892466185,-0.021806830707661314,0.021625826603062115,-0.02145089089739698,0.02128162208875591,-0.021117757399886812,0.020958949110146386,-0.020804980407458106,0.020655547167135885,-0.020510470082348048,0.020369480714124914,-0.02023243063980448,0.020099080891780724,-0.019969308693168587
0.17,-0.0846583142333951,0.06514678947363299,-0.051632350661202434,0.04445994854268118,-0.04020060445994045,0.037172825576607185,-0.03489632600939308,0.033080637554486654,-0.03159190457460137,0.030334765835412583,-0.02925562249007018,0.028312764979962234,-0.02747997993522615,0.02673569926356247,-0.026065365632290227,0.025456519881733357,-0.02490033468976723,0.024389020372518992,-0.023916868314813336,0.023478709359283468,-0.02307066625456259,0.02268914498648281,-0.022331408964415884,0.02199486340075157,-0.021677516398616786,0.021377435231987603,-0.02109313326334856,0.020823132445504114,-0.02056630012254161,0.020321480037771004,-0.02008779435731341,0.019864320470601916,-0.019650368303870316,0.019445188675588806,-0.019248232679999457,0.019058882362835997,-0.0188766968483089,0.018701159166280228,-0.018531912411718792,0.018368518495250036,-0.018210686693585425,0.018058041359318714,-0.017910344582436098,0.017767270739299817,-0.017628624539132547,0.017494120868504322,-0.01736359917947092,0.01723680748738642,-0.017113613828349142,0.016993793552920796,-0.01687723841281846
0.18,-0.07507520993543512,0.05937236683300542,-0.04641789322078537,0.0396176584745686,-0.035611804087327385,0.03277799393635935,-0.03065670254096816,0.028970319275972156,-0.02759180557644497,0.026430602622546134,-0.025436126993105226,0.02456895976203681,-0.023804470540331746,0.02312235372232397,-0.022508980711373135,0.021952658562628492,-0.02144514914420597,0.020979161057974774,-0.02054938180527329,0.02015098358476298,-0.01978036767048574,0.019434183598293717,-0.019109897741583667,0.018805094844389303,-0.018517935285464526,0.018246622271530837,-0.01798978621537948,0.017746054319767245,-0.01751438576613979,0.017293707350564992,-0.017083214572146777,0.01688205143223504,-0.01668958731358598,0.016505127219323696,-0.016328171097665295,0.016158145617525276,-0.015994650521966216,0.015837205991830337,-0.015685489251104773,0.015539093440591373,-0.015397756785041251,0.015261130117387842,-0.015129000291351374,0.015001064310640218,-0.014877148233349695,0.014756986416398447,-0.014640436847288827,0.014527264401330732,-0.014417353312079467,0.014310493613619224,-0.014206591296848661
