h,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0.01,-88.95435164249614,87.16236886047864,-86.11933180158444,85.44392150609504,-84.96947535254333,84.5987645620232,-84.29669728610632,84.04101390010696,-83.81992619995312,83.62495802653538,-83.45080426198211,83.29336292659194,-83.14980849400207,83.01785104399883,-82.89581175837198,82.78228428402417,-82.67619153488283,82.57660859052775,-82.48280398311427,82.39413720289419,-82.31008924981326,82.23019831263619,-82.15408311251439,82.08139970674628,-82.01185996370053,81.94520080400575,-81.88119933165225,81.81964977525321,-81.76037627728296,81.70321480483867,-81.64802426631749,81.59467174354108,-81.5430423914885,81.49302695744687,-81.44453077991108,81.39746292359455,-81.35174450084868,81.3072989742448,-81.26405996104562,81.22196239626122,-81.18094993739773,81.14096677286496,-81.1019647138628,81.06389549443145,-81.02671761570979,80.9903890258321,-80.9548737661657,80.9201349484353,-80.88614124109726,80.85286008174799,-80.82026403329665
0.02,-43.81952004562163,42.07791136998436,-41.07531037545909,40.43358169586634,-39.98580677672982,39.637656073179464,-39.35510679992158,39.11672758763421,-38.91119059514055,38.73038235325803,-38.569234804252,38.4238392681242,-38.29150849796837,38.17006855800938,-38.05792855717058,37.95375754464457,-37.85653795761315,37.76539682696304,-37.67964493572596,37.59867918267387,-37.52201169137016,37.44920853838643,-37.37991206497904,37.31379970962006,-37.250601709888834,37.19007176265653,-37.132001552202745,37.07619872843432,-37.022499208708936,36.97074987661395,-36.92081929206027,36.872583543737946,-36.825935800204626,36.78077433315931,-36.7370112101216,36.69456185102457,-36.653353075064686,36.613313764960814,-36.574382420864616,36.536498640783236,-36.49961029324741,36.46366560975398,-36.42862005898735,36.39442890544683,-36.36105384742239,36.328455935758896,-36.29660202289513,36.26545796340812,-36.23499491051093,36.205182739636555,-36.17599622069202
0.03,-28.746505160144633,27.05629571811016,-26.093604293170515,25.48453335179822,-25.062382174335774,24.735768868215573,-24.471759345823354,24.249751132047926,-24.05887561852661,23.89137841409313,-23.742425385744372,23.608297761646867,-23.486443739178284,23.37480266032657,-23.27186927560137,23.176385926075096,-23.08739276272779,23.004067112609626,-22.925760569849214,22.851906126350165,-22.78204587044252,22.715772705776118,-22.652751648896356,22.592680652002507,-22.535307541839483,22.480402072939828,-22.42776985829765,22.377231366881254,-22.328633740835265,22.281834270210144,-22.236710697500104,22.193147682249545,-22.15104600334678,22.110311081000372,-22.07086136223506,22.032618295648145,-21.995514102148924,21.95948279895569,-21.92446750098178,21.890412217797106,-21.857268791939177,21.82498927540712,-21.793532583704973,21.762857313715905,-21.732928172697807,21.703709137096077,-21.675169701542426,21.647278304403006,-21.62000843144498,21.593332252501476,-21.567226606759885
0.04,-21.189368602984942,19.55150622564729,-18.628142623101482,18.05069526292818,-17.653131067455742,17.347054160157438,-17.1006344350811,16.894096385674025,-16.71702807631942,16.562029636245736,-16.424497129169485,16.3008978807225,-16.188812417395493,16.086290445866258,-15.991909929825782,15.904484283852137,-15.823109487375701,15.747011450405584,-15.675581097728186,15.608286167910064,-15.544697534081205,15.484433850428877,-15.42718185410672,15.372659136697619,-15.320630330835925,15.270880528543035,-15.223228620679242,15.177507294629969,-15.133574370315486,15.091297037699984,-15.050561757393709,15.011261328352594,-14.973303741777002,14.936601195646181,-14.90107817258104,14.866661828725338,-14.833289487316689,14.800900019934252,-14.769440893856245,14.73886028423529,-14.709113776213567,14.680157025027686,-14.651952187779267,14.62446100079731,-14.597650997361052,14.571488907333848,-14.545946703674112,14.520995254179345,-14.496610229749692,14.472765955660497,-14.449441207213619
0.05,-16.638929170683028,15.0542861589606,-14.16961813887974,13.622753778531305,-13.248753139682224,12.962235029016004,-12.732484451852816,12.54054854694797,-12.376468170144275,12.233192553687521,-12.106343698640114,11.99257084738549,-11.889583497419414,11.795538631038713,-11.709094877694548,11.62913441907523,-11.554807117917532,11.485385709609275,-11.42029893978536,11.359047925855881,-11.30123113283423,11.246491880208875,-11.194537667252005,11.145104849017631,-11.097974082108147,11.052945078336295,-11.009849359841343,10.968531236523216,-10.928858664915118,10.890708234304784,-10.85397466560257,10.818558472278497,-10.784374466807854,10.75134126095202,-10.719389036045174,10.68845034138448,-10.658467310051524,10.629383394409356,-10.601150158379374,10.57371970303611,-10.547051131119987,10.521103489874845,-10.49584197886766,10.471231286666118,-10.447241595398994,10.42384222158813,-10.401007458114693,10.37871045296928,-10.356928919922519,10.335639205560344,-10.31482189300079
0.06,-13.59213188828329,12.06150673338419,-11.21485609749897,10.697531273577214,-10.346086397694428,10.078174306135475,-9.864202291628382,9.686033583329849,-9.53415673271706,9.401863881270033,-9.28499823546736,9.180386450572765,-9.085863429091543,8.999690192467618,-8.920603391744338,8.847551599847488,-8.779736572751304,8.716476081859469,-8.657235164802783,8.601546937530621,-8.549036258471716,8.499370024908718,-8.452275541370946,8.407507053667842,-8.364860465883302,8.324149398003536,-8.285217364235633,8.247919708604515,-8.212133991355799,8.177745708628867,-8.144657392362744,8.112776853891855,-8.082025344411377,8.052327533581447,-8.023618972792987,7.995837297915197,-7.968929167256903,7.9428423478278924,-7.9175322519306786,7.8929546739340815,-7.869072016205189,7.8458465133825355,-7.823246214978963,7.801238580802598,-7.77979627086439,7.758891027400848,-7.7384993106276045,7.718596404933017,-7.699161930145501,7.680174125122647,-7.661615257608132
0.07,-11.40481500206363,9.928934063695172,-9.119580974512434,8.630752589997906,-8.30087333197379,8.05064048281507,-7.851587049609687,7.686383729588047,-7.54596056369519,7.423945712973613,-7.316398441087334,7.220318033659139,-7.133661057342014,7.054789215651269,-6.982514461022382,6.915849329441295,-6.854045448802482,6.796463816915895,-6.74260422490946,6.692030402520997,-6.644392404239917,6.599379621131618,-6.556738212598122,6.516239449921129,-6.477693717216284,6.440927840276944,-6.405796696265431,6.3721660848682875,-6.339922647492579,6.308960304636408,-6.279188960160274,6.250523316311266,-6.222890690200636,6.196221462749983,-6.1704562359794055,6.14553743446487,-6.121415965790457,6.098043653636392,-6.075379518521078,6.0533828230904785,-6.032019058913097,6.011253450491124,-5.991056711787923,5.971398899436107,-5.952254986897001,5.933598987294425,-5.915409381672576,5.897663452707075,-5.88034259513544,5.863426816334762,-5.846899950763076
0.08,-9.754901715724255,8.334420861050184,-7.561607955100399,7.100236251483342,-6.790951872794802,6.557498437438192,-6.372534551107817,6.219527851214849,-6.089842653041703,5.977435629131706,-5.878576589420241,5.790432430841705,-5.711077499460991,5.638970728197809,-5.572996593837705,5.512229130777964,-5.455967798788456,5.403615002744183,-5.354703747631839,5.3088269950274665,-5.265658805206183,5.224909987643541,-5.186344617000361,5.149750135916162,-5.114950653279729,5.081785510343063,-5.050120330566213,5.01983080284052,-4.9908121393180895,4.962966213925731,-4.936209874869661,4.910464319274327,-4.88566256817112,4.861740377296687,-4.838643089923919,4.8163176309232965,-4.794718890509886,4.7738024997963455,-4.753530855952946,4.733866472949622,-4.714777729073482,4.696232648597117,-4.678204431774235,4.6606655645076405,-4.643593176056305,4.62696340193859,-4.610756603793209,4.594951930326518,-4.579532425846692,4.5644797479145724,-4.5497791851816265
0.09,-8.4634640921936,7.098970298329646,-6.361906602416722,5.9269578721978275,-5.637318560422066,5.4197723982681145,-5.248100139131237,5.106554086022689,-4.986924702736916,4.883489121196848,-4.7927218749336795,4.711952256342446,-4.639368391266343,4.573522917026245,-4.513370018573622,4.45804274213042,-4.406886331974102,4.359342780507704,-4.314976773454541,4.27340913157335,-4.2343367430362875,4.1974907735488065,-4.162652287959307,4.129624060587309,-4.098243184763339,4.068360841256026,-4.039852797637837,4.012604079326189,-3.986517972442255,3.961503846303817,-3.937485078553757,3.914388977081207,-3.8921539165116004,3.8707207019073198,-3.8500391191264014,3.830060314960256,-3.8107429054212236,3.792046089002661,-3.7739354169480595,3.7563764460043205,-3.7393402469293675,3.7227974613706505,-3.7067236052682713,3.6910934332983265,-3.675886079808689,3.6610796606992877,-3.6466562843617436,3.632596839235815,-3.6188858997574327,3.6055066608252497,-3.5924457582110447
0.1,-7.423148605466138,6.115161528106451,-5.41302618692972,5.003475242186465,-4.732553410920658,4.530070621674073,-4.370923197098905,4.240134239907052,-4.12991142080385,4.034843805956162,-3.9516045662438772,3.8776800141902834,-3.8113679678708836,3.751311193200459,-3.6965307442227973,3.6462161837371196,-3.599756496171749,3.5566314503241507,-3.516435892895257,3.4788171462469566,-3.4434937656290123,3.410216227989355,-3.3787816811188356,3.349007408606565,-3.320742765167744,3.2938501115905634,-3.268214773549448,3.2437305755747166,-3.2203083958701764,3.1978646550948127,-3.1763288590090712,3.1556340548888495,-3.135723632982677,3.116543133750158,-3.0980464981845754,3.080188827111773,-3.062932215694933,3.046239199273984,-3.030078269849158,3.014417827045723,-2.9992314482797164,2.984492218049754,-2.9701778050757808,2.9562650794890364,-2.9427350370571626,2.929567638608864,-2.916746611899724,2.90425446481314,-2.8920771883981837,2.8801994075586097,-2.868609003572187
