1,2,3,4,5,6,7,8,9,10
-9.346425008143521e-6,0.0005958664991330311,-0.00015116664982708434,8.440561826504757e-5,-7.587931357014214e-5,4.4396912602063146e-5,-5.275055066405513e-5,2.7846189556116213e-5,-4.144502466550198e-5,1.884303462496286e-5
-3.173708795881486e-5,-0.0002348198338703454,-0.0017635066181037784,0.000384128165749355,-0.0002943578568328225,0.00017023206149228994,-0.00019371828944471096,0.0001050402840742621,-0.00015006930127995074,7.142376397698282e-5
-6.925868124160521e-5,-0.00015862865991570136,0.0004638099740758721,0.0035466417361553954,-0.0008414412969989663,0.0004356645576833119,-0.00045181994813732284,0.0002463425219054281,-0.000338670307053098,0.00016430000212077825
-0.00012301116848043814,-0.000176727220652977,0.00012603351749194738,-0.001185907968844681,-0.006052732610553048,0.0011404318256061285,-0.0009178867875496065,0.0004902494404233303,-0.0006297564687934418,0.0003093643912261319
-0.00019388037871971394,-0.0002304703753936191,-3.53879355722104e-5,-0.0006989275038911186,0.0014945549432528505,0.008933322724534497,-0.0020213607551053353,0.0009644464782195016,-0.0010794225553895954,0.0005350713364578461
-0.0002826091911337779,-0.0003094379309171038,-0.00016996263306857365,-0.0006139435720325623,0.0005184612506653224,-0.002834853753101545,-0.012968228644526819,0.0022563677319189994,-0.001857818024224442,0.0009142600260822881
-0.00038984726211530583,-0.00041054456302423026,-0.00030488504483737244,-0.0006331777749402765,0.00013933450137389338,-0.0016028768177469034,0.0030915543733339005,0.016854659692434732,-0.0037218102805284124,0.0016647279015163535
-0.0005161829934761922,-0.0005327771886882495,-0.0004496337374506205,-0.0007059198147090669,-0.00012487609686167835,-0.0013270756670911228,0.0011230676683332596,-0.005218291662233005,-0.022645679650294376,0.003748911577903406
-0.0006621665071563273,-0.0006758923059083628,-0.0006086712331406505,-0.0008160147077433832,-0.0003560968978889057,-0.0012726936039522414,0.0004268195148775474,-0.002883912854566117,0.005278374419436979,0.027457908763875195
-0.0008283279496141896,-0.0008399864348528098,-0.0007845353433289281,-0.0009567294657370772,-0.0005808140440608451,-0.0013168994598536158,-1.4012048074287216e-5,-0.0023201277253340957,0.0019424467927628346,-0.008385615346557665
-0.0010151934023303441,-0.0010253311653826602,-0.0009788897479374784,-0.001124861252044467,-0.0008106484823748349,-0.0014213506617108468,-0.0003699042951366662,-0.0021494799538705747,0.0008211296127115503,-0.0045683808170468585
-0.0012232997093107232,-0.0012323055243294904,-0.0011929627076991904,-0.001318816802205624,-0.0010517757901293233,-0.0015701971795887906,-0.0006946030568899566,-0.0021424539179698983,0.00015191027176980423,-0.0036116545351034877
-0.0014532090530577563,-0.001461369442525458,-0.0014277594911546153,-0.0015378482637211587,-0.0013079688685638277,-0.0017557762209881402,-0.0010109179052661343,-0.002227861743766744,-0.0003597250699610198,-0.0032780490621725903
-0.0017055238666868876,-0.0017130567031869966,-0.0016841786517767115,-0.0017817077056558486,-0.0015818097951020883,-0.0019740527974111636,-0.0013305244282662621,-0.002376485120962693,-0.0008058954773607957,-0.003194998461545473
-0.001980902551078851,-0.001987978253247489,-0.001963083457294152,-0.002050478363460679,-0.00187525118479388,-0.002222846554708286,-0.0016602817621077014,-0.002574251980861811,-0.0012251881082046194,-0.0032471492191654
-0.002280076420781371,-0.0022868318141312893,-0.002265351196858856,-0.002344489762830221,-0.0021899094027415314,-0.0025010429179949806,-0.002004701468233409,-0.0028137155188090865,-0.0016370069574830862,-0.003387284370760177
